trait,trait_label,outcome,outcome_label,pearson_r,pearson_p_value,spearman_rho,spearman_p_value,n,abs_pearson_r
blast_swing_rate,Blast rate (swings),wrc_plus,wRC+,0.49604525680651723,1.3105631971707564e-82,0.48565148375500905,9.106503242289477e-79,1315,0.49604525680651723
blast_swing_rate,Blast rate (swings),xwoba,xwOBA,0.6685357846439953,4.437364873064985e-171,0.6651533372983744,9.235786349180038e-169,1315,0.6685357846439953
blast_contact_rate,Blast rate (contact),wrc_plus,wRC+,0.4604234102271338,5.6432717958779904e-70,0.4391415376138267,4.129320115331047e-63,1315,0.4604234102271338
blast_contact_rate,Blast rate (contact),xwoba,xwOBA,0.6213296150513968,2.870571889480855e-141,0.6110998496638613,1.8225248995895732e-135,1315,0.6213296150513968
fast_swing_rate,Fast-swing rate,wrc_plus,wRC+,0.31574241725746505,7.903487376021418e-32,0.28496500420130766,5.461138748122659e-26,1315,0.31574241725746505
fast_swing_rate,Fast-swing rate,xwoba,xwOBA,0.4059881883091008,2.3932735352845404e-53,0.38272975640182455,3.9722301508293926e-47,1315,0.4059881883091008
avg_bat_speed,Average bat speed,wrc_plus,wRC+,0.2782128882318014,8.415530247468984e-25,0.2635444274711834,2.4742281767523545e-22,1315,0.2782128882318014
avg_bat_speed,Average bat speed,xwoba,xwOBA,0.3849412586976733,1.0687609330622366e-47,0.3673928116290601,2.7164450690641878e-43,1315,0.3849412586976733
squared_up_contact_rate,Squared-up rate (contact),wrc_plus,wRC+,0.14106336327976454,2.803362450666737e-07,0.15342077417994518,2.2533846220982775e-08,1315,0.14106336327976454
squared_up_contact_rate,Squared-up rate (contact),xwoba,xwOBA,0.19031725675837807,3.436901206652011e-12,0.19658102701664049,6.379666582849643e-13,1315,0.19031725675837807
squared_up_swing_rate,Squared-up rate (swings),wrc_plus,wRC+,0.13566194941182955,7.906381403393108e-07,0.1558592227916737,1.3368297389121127e-08,1315,0.13566194941182955
squared_up_swing_rate,Squared-up rate (swings),xwoba,xwOBA,0.16898264340168084,6.987385980669607e-10,0.18211233700225962,2.8648063643363563e-11,1315,0.16898264340168084
swing_tilt,Swing-path tilt,wrc_plus,wRC+,0.11720114204986307,2.0378189813286176e-05,0.10320726029877549,0.0001775030921445585,1315,0.11720114204986307
swing_tilt,Swing-path tilt,xwoba,xwOBA,0.16286731673448915,2.847915338229611e-09,0.14789998770588347,7.130855305649052e-08,1315,0.16286731673448915
swing_length,Swing length,wrc_plus,wRC+,0.10234073924715127,0.00020127575792462874,0.08399201600598392,0.0023014955945100733,1315,0.10234073924715127
swing_length,Swing length,xwoba,xwOBA,0.13546297437409682,8.208047111621591e-07,0.11853962025776799,1.634695034084113e-05,1315,0.13546297437409682
whiff_rate,Whiff rate,wrc_plus,wRC+,-0.09916114607875595,0.00031658981864138107,-0.10425474281875945,0.00015228606284971324,1315,0.09916114607875595
whiff_rate,Whiff rate,xwoba,xwOBA,-0.10015611871541862,0.0002751367310974442,-0.09059456052068096,0.0010059233903661128,1315,0.10015611871541862
attack_angle,Attack angle,wrc_plus,wRC+,0.08056812971692824,0.0034599608379887285,0.07967270015171446,0.003840003332028497,1315,0.08056812971692824
attack_angle,Attack angle,xwoba,xwOBA,0.06334666488683793,0.021604027197359106,0.06403196945115519,0.020224222834632148,1315,0.06334666488683793
bbe_per_swing,Batted balls per swing,wrc_plus,wRC+,0.056298058278899867,0.04122995865170702,0.07739964299489245,0.0049806574885882925,1315,0.056298058278899867
bbe_per_swing,Batted balls per swing,xwoba,xwOBA,0.08418942519951648,0.0022470239762211316,0.087322069814903,0.0015264961237075575,1315,0.08418942519951648
ideal_attack_angle_rate,Ideal attack-angle rate,wrc_plus,wRC+,0.04382553312126087,0.1121746634432585,0.040708721717740905,0.14009826049175714,1315,0.04382553312126087
ideal_attack_angle_rate,Ideal attack-angle rate,xwoba,xwOBA,0.03811868615539803,0.16713058253167065,0.02495223635568713,0.3659310102484965,1315,0.03811868615539803
distance_off_plate,Distance off the plate,wrc_plus,wRC+,0.0200344975655324,0.46790528182726865,0.031001683271138798,0.26126224027552325,1315,0.0200344975655324
distance_off_plate,Distance off the plate,xwoba,xwOBA,0.04291179054426055,0.11986420945217893,0.05665348875121535,0.039964312789468985,1315,0.04291179054426055
attack_direction,Attack direction,wrc_plus,wRC+,0.016273304777684454,0.5554618443815031,0.0173561418498821,0.5294581556579199,1315,0.016273304777684454
attack_direction,Attack direction,xwoba,xwOBA,0.08302420612464022,0.0025864416028677714,0.09600039774683569,0.0004903028903606739,1315,0.08302420612464022
depth_in_box,Depth in the box,wrc_plus,wRC+,0.015847753649147877,0.5658490474914619,0.032439849192162314,0.23977289873059648,1315,0.015847753649147877
depth_in_box,Depth in the box,xwoba,xwOBA,0.07534735107491095,0.006264538613944555,0.07224413963298715,0.008774489553160953,1315,0.07534735107491095
intercept_y_vs_plate,Intercept vs plate,wrc_plus,wRC+,-0.01220986583036626,0.6582280544161077,-0.010778856316024144,0.6961575936115568,1315,0.01220986583036626
intercept_y_vs_plate,Intercept vs plate,xwoba,xwOBA,-0.07523586840760665,0.006342128612769495,-0.07718100764968312,0.0051051083935033555,1315,0.07523586840760665
intercept_y_vs_batter,Intercept vs batter,wrc_plus,wRC+,0.0007526309818928713,0.9782470543245418,0.014148976540856437,0.6082164244403445,1315,0.0007526309818928713
intercept_y_vs_batter,Intercept vs batter,xwoba,xwOBA,-0.0195100881052617,0.47963645588406917,-0.01921600900732262,0.48628456925137187,1315,0.0195100881052617
