trait,trait_label,pearson_r_wrc_plus,pearson_r_xwoba,spearman_rho_wrc_plus,spearman_rho_xwoba,n_wrc_plus,n_xwoba
blast_swing_rate,Blast rate (swings),0.49604525680651723,0.6685357846439953,0.48565148375500905,0.6651533372983744,1315,1315
blast_contact_rate,Blast rate (contact),0.4604234102271338,0.6213296150513968,0.4391415376138267,0.6110998496638613,1315,1315
fast_swing_rate,Fast-swing rate,0.31574241725746505,0.4059881883091008,0.28496500420130766,0.38272975640182455,1315,1315
avg_bat_speed,Average bat speed,0.2782128882318014,0.3849412586976733,0.2635444274711834,0.3673928116290601,1315,1315
squared_up_contact_rate,Squared-up rate (contact),0.14106336327976454,0.19031725675837807,0.15342077417994518,0.19658102701664049,1315,1315
squared_up_swing_rate,Squared-up rate (swings),0.13566194941182955,0.16898264340168084,0.1558592227916737,0.18211233700225962,1315,1315
swing_tilt,Swing-path tilt,0.11720114204986307,0.16286731673448915,0.10320726029877549,0.14789998770588347,1315,1315
swing_length,Swing length,0.10234073924715127,0.13546297437409682,0.08399201600598392,0.11853962025776799,1315,1315
whiff_rate,Whiff rate,-0.09916114607875595,-0.10015611871541862,-0.10425474281875945,-0.09059456052068096,1315,1315
attack_angle,Attack angle,0.08056812971692824,0.06334666488683793,0.07967270015171446,0.06403196945115519,1315,1315
bbe_per_swing,Batted balls per swing,0.056298058278899867,0.08418942519951648,0.07739964299489245,0.087322069814903,1315,1315
ideal_attack_angle_rate,Ideal attack-angle rate,0.04382553312126087,0.03811868615539803,0.040708721717740905,0.02495223635568713,1315,1315
distance_off_plate,Distance off the plate,0.0200344975655324,0.04291179054426055,0.031001683271138798,0.05665348875121535,1315,1315
attack_direction,Attack direction,0.016273304777684454,0.08302420612464022,0.0173561418498821,0.09600039774683569,1315,1315
depth_in_box,Depth in the box,0.015847753649147877,0.07534735107491095,0.032439849192162314,0.07224413963298715,1315,1315
intercept_y_vs_plate,Intercept vs plate,-0.01220986583036626,-0.07523586840760665,-0.010778856316024144,-0.07718100764968312,1315,1315
intercept_y_vs_batter,Intercept vs batter,0.0007526309818928713,-0.0195100881052617,0.014148976540856437,-0.01921600900732262,1315,1315
