trait,trait_label,outcome,raw_r,raw_p_value,residualized_r,residualized_p_value,n,abs_raw_r
blast_swing_rate,Blast rate (swings),wrc_plus,0.49604525680651723,1.3105631971707564e-82,-0.07959713872176256,0.0038737461125976135,1315,0.49604525680651723
blast_contact_rate,Blast rate (contact),wrc_plus,0.4604234102271338,5.6432717958779904e-70,-0.059580643588603224,0.030739135952086116,1315,0.4604234102271338
fast_swing_rate,Fast-swing rate,wrc_plus,0.31574241725746505,7.903487376021418e-32,0.0074408391502035764,0.787488197405108,1315,0.31574241725746505
avg_bat_speed,Average bat speed,wrc_plus,0.2782128882318014,8.415530247468984e-25,-0.052009084965069834,0.05936448205145622,1315,0.2782128882318014
squared_up_contact_rate,Squared-up rate (contact),wrc_plus,0.14106336327976454,2.803362450666737e-07,-0.05618486914640987,0.04164006474639961,1315,0.14106336327976454
squared_up_swing_rate,Squared-up rate (swings),wrc_plus,0.13566194941182955,7.906381403393108e-07,-0.06323864550178104,0.02182882154462117,1315,0.13566194941182955
swing_tilt,Swing-path tilt,wrc_plus,0.11720114204986307,2.0378189813286176e-05,0.14854692061164546,6.243836161046037e-08,1315,0.11720114204986307
swing_length,Swing length,wrc_plus,0.10234073924715127,0.00020127575792462874,-0.0718625480600067,0.009138228645116252,1315,0.10234073924715127
whiff_rate,Whiff rate,wrc_plus,-0.09916114607875595,0.00031658981864138107,0.02329936966390454,0.3985495599770296,1315,0.09916114607875595
attack_angle,Attack angle,wrc_plus,0.08056812971692824,0.0034599608379887285,0.02527858272237221,0.35969308932919286,1315,0.08056812971692824
bbe_per_swing,Batted balls per swing,wrc_plus,0.056298058278899867,0.04122995865170702,-0.151160472173957,3.62961134116738e-08,1315,0.056298058278899867
ideal_attack_angle_rate,Ideal attack-angle rate,wrc_plus,0.04382553312126087,0.1121746634432585,-0.09659214492181212,0.00045218976188924725,1315,0.04382553312126087
distance_off_plate,Distance off the plate,wrc_plus,0.0200344975655324,0.46790528182726865,-0.03388257829511532,0.21949742136319472,1315,0.0200344975655324
attack_direction,Attack direction,wrc_plus,0.016273304777684454,0.5554618443815031,0.054397271328601546,0.048588061730762126,1315,0.016273304777684454
depth_in_box,Depth in the box,wrc_plus,0.015847753649147877,0.5658490474914619,-0.06654181068104684,0.015805273582456033,1315,0.015847753649147877
intercept_y_vs_plate,Intercept vs plate,wrc_plus,-0.01220986583036626,0.6582280544161077,0.025384323978113583,0.35768630215528047,1315,0.01220986583036626
intercept_y_vs_batter,Intercept vs batter,wrc_plus,0.0007526309818928713,0.9782470543245418,-0.038296009653803934,0.16516325458409373,1315,0.0007526309818928713
